"NormalizedFamily"	"Count"	"Projects"	"LastChangedDates"	"Descriptions"	"MatchFamilies"
"API_INBOUND_DELIVERY"	"2"	"API_INBOUND_DELIVERY;API_INBOUND_DELIVERY_0002"	"29.01.2021;05.04.2022"	"Remote API for Inbound Delivery || Remote API for Inbound Delivery"	"Delivery"
"API_OUTBOUND_DELIVERY"	"2"	"API_OUTBOUND_DELIVERY;API_OUTBOUND_DELIVERY_0002"	"17.05.2018;19.05.2022"	"Remote API for Outbound Delivery || Remote API for Outbound Delivery"	"Delivery"
