MANDT	RUUID	VBELV	POSNV	VBELN	POSNN	VBTYP_N	RFMNG	MEINS	RFWRT	WAERS	VBTYP_V	PLMIN	TAQUI	ERDAT	ERZET	MATNR	BWART	BDART	PLART	LGNUM	AEDAT	FKTYP	BRGEW	GEWEI	VOLUM	VOLEH	FPLNR	FPLTR	RFMNG_FLO	RFMNG_FLT	VRKME	ABGES	SOBKZ	SONUM	KZBEF	NTGEW	LOGSYS	WBSTA	CMETH	MJAHR	STUFE	_DATAAGING
700	B5ABF3E9B89B1EDEB0DDD9A209BCE261	0080019087	000000	2100005093	000001	8					J			04.02.2024	05:18:59													000000	0.0000000000000000E+00	0.0000000000000000E+00		0.0000000000000000E+00								0000	00	
700	B5ABF3E9B89B1EDEB0DDD9A209C02261	0080019087	000010	4900180168	000001	R	42.250	TO	99,977.44	INR	J	+		04.02.2024	05:19:00	000000000014000035	641											000000	4.2250000000000000E+01	4.2250000000000000E+01	TO	0.0000000000000000E+00								2024	00	
700	B5ABF3E9B89B1EDEB0DDD9D66FB74261	0080019087	000010	1100012896	000001	M	42.250	TO	105,625.00	INR	J	+		04.02.2024	05:19:02							L						000000	4.2250000000000000E+01	4.2250000000000000E+01	TO	0.0000000000000000E+00								0000	00	
700	B5ABF3E9B89B1EDEB0FDE86E30A5A274	0080019087	000010	5000014663	000001	i	42.250	TO	0.00	INR	J	+		05.02.2024	11:54:49	000000000014000035	101				05.02.2024							000000	4.2250000000000000E+01	4.2250000000000000E+01		0.0000000000000000E+00								2024	00	
