MANDT	MBLNR	MJAHR	ZEILE	LINE_ID	PARENT_ID	LINE_DEPTH	MAA_URZEI	BWART	XAUTO	MATNR	WERKS	LGORT	CHARG	INSMK	ZUSCH	ZUSTD	SOBKZ	LIFNR	KUNNR	KDAUF	KDPOS	KDEIN	PLPLA	SHKZG	WAERS	DMBTR	BNBTR	BUALT	SHKUM	DMBUM	BWTAR	MENGE	MEINS	ERFMG	ERFME	BPMNG	BPRME	EBELN	EBELP	LFBJA	LFBNR	LFPOS	SJAHR	SMBLN	SMBLP	ELIKZ	SGTXT	EQUNR	WEMPF	ABLAD	GSBER	KOKRS	PARGB	PARBU	KOSTL	PROJN	AUFNR	ANLN1	ANLN2	XSKST	XSAUF	XSPRO	XSERG	GJAHR	XRUEM	XRUEJ	BUKRS	BELNR	BUZEI	BELUM	BUZUM	RSNUM	RSPOS	KZEAR	PBAMG	KZSTR	UMMAT	UMWRK	UMLGO	UMCHA	UMZST	UMZUS	UMBAR	UMSOK	KZBEW	KZVBR	KZZUG	WEUNB	PALAN	LGNUM	LGTYP	LGPLA	BESTQ	BWLVS	TBNUM	TBPOS	XBLVS	VSCHN	NSCHN	DYPLA	UBNUM	TBPRI	TANUM	WEANZ	GRUND	EVERS	EVERE	IMKEY	KSTRG	PAOBJNR	PRCTR	PS_PSP_PNR	NPLNR	AUFPL	APLZL	AUFPS	VPTNR	FIPOS	SAKTO	BSTMG	BSTME	XWSBR	EMLIF	DUMMY_INCL_EEW_COBL	EXBWR	VKWRT	AKTNR	ZEKKN	VFDAT	CUOBJ_CH	EXVKW	PPRCTR	RSART	GEBER	FISTL	MATBF	UMMAB	BUSTM	BUSTW	MENGU	WERTU	LBKUM	SALK3	VPRSV	FKBER	DABRBZ	VKWRA	DABRZ	XBEAU	LSMNG	LSMEH	KZBWS	QINSPST	URZEI	J_1BEXBASE	MWSKZ	TXJCD	EMATN	J_1AGIRUPD	VKMWS	HSDAT	BERKZ	MAT_KDAUF	MAT_KDPOS	MAT_PSPNR	XWOFF	BEMOT	PRZNR	LLIEF	LSTAR	XOBEW	GRANT_NBR	ZUSTD_T156M	SPE_GTS_STOCK_TY	KBLNR	KBLPOS	XMACC	VGART_MKPF	BUDAT_MKPF	CPUDT_MKPF	CPUTM_MKPF	USNAM_MKPF	XBLNR_MKPF	TCODE2_MKPF	VBELN_IM	VBELP_IM	SGT_SCAT	SGT_UMSCAT	SGT_RCAT	SERVICEPERFORMER	PERNR	KNTTP_GR	WORK_ITEM_ID	FBUDA	XPRINT	/CWM/MENGE	/CWM/MEINS	/CWM/ERFMG	/CWM/ERFME	SERVICE_DOC_TYPE	SERVICE_DOC_ID	SERVICE_DOC_ITEM_ID	EWM_LGNUM	EWM_GMDOC	RESOURCENAME_SID	RESOURCENAME_CID	DUMMY_MATDOC_INCL_EEW_PS	DISUB_OWNER	FSH_SEASON_YEAR	FSH_SEASON	FSH_COLLECTION	FSH_THEME	FSH_UMSEA_YR	FSH_UMSEA	FSH_UMCOLL	FSH_UMTHEME	SGT_CHINT	COMPL_MARK	FZGLS_MARK	ETANP_MARK	POPUP_MARK	OINAVNW	OICONDCOD	CONDI	WRF_CHARSTC1	WRF_CHARSTC2	WRF_CHARSTC3
700	5000018851	2024	0001	000001	000000	00	0000	101		000000000014000035	1010	RMYD									000000	0000		S	INR	0.00	0.00	0.00		0.00		41.710	TO	41.710	TO	41.710	TO	5600000339	00010	0000		0000	0000		0000						1009	1000	1009											2023			1000		000		000	0000000000	0000		0.000	2									B		X		0					000	0000000000	0000					0000000000		0000000000	001	0000					0000000000	1010110101	00000000		0000000000	00000000	0000				41.710	TO				0.00	0.00		00		000000000000000000	0.00	1010110101				000000000014000035		MEU1		X	X	27,497.369	94,982,236.92	S			0.00							0001	0.00									000000	00000000								F			000		WE	06.02.2024	06.02.2024	03:15:54	SCLADMIN		MB01	0080024605	000010					00000000											000000		000000000000																		0.00					
700	5000018851	2024	0002	000002	000000	00	0000	101		000000000014000035	1010	RMYD		3							000000	0000		S	INR	0.00	0.00	0.00		0.00		0.140	TO	0.140	TO	0.140	TO	5600000339	00010	0000		0000	0000		0000						1009	1000	1009											2023			1000		000		000	0000000000	0000		0.000	2									B		X		0					000	0000000000	0000					0000000000		0000000000	001	0000					0000000000	1010110101	00000000		0000000000	00000000	0000				0.140	TO				0.00	0.00		00		000000000000000000	0.00	1010110101				000000000014000035		MEU1		X	X	27,497.369	94,982,236.92	S			0.00							0002	0.00									000000	00000000								3			000		WE	06.02.2024	06.02.2024	03:15:54	SCLADMIN		MB01	0080024605	000010					00000000											000000		000000000000																		0.00					
