9004952851|5600083620|000000000014000009|23.460 TO|1000/SGLM|batch=
9004952856|5600083620|000000000014000009|27.660 TO|1000/SGLM|batch=
9004952857|5600083620|000000000014000009|24.410 TO|1000/SGLM|batch=
9004952859|5600083620|000000000014000009|22.830 TO|1000/SGLM|batch=
9004952868|5600083620|000000000014000009|22.560 TO|1000/SGLM|batch=
9004952870|5600083620|000000000014000009|23.870 TO|1000/SGLM|batch=
9004952871|5600083620|000000000014000009|37.280 TO|1000/SGLM|batch=
9004952873|5600083620|000000000014000009|22.300 TO|1000/SGLM|batch=
9004952875|5600083620|000000000014000009|29.060 TO|1000/SGLM|batch=
9004952880|5600083620|000000000014000009|26.660 TO|1000/SGLM|batch=
9004952902|5600083620|000000000014000009|28.130 TO|1000/SGLM|batch=
9004952904|5600083620|000000000014000009|24.660 TO|1000/SGLM|batch=
9004952911|5600083620|000000000014000009|32.240 TO|1000/SGLM|batch=
9004952912|5600083620|000000000014000009|31.400 TO|1000/SGLM|batch=
9004952913|5600083620|000000000014000009|23.690 TO|1000/SGLM|batch=
9004952949|5600083620|000000000014000009|25.980 TO|1000/SGLM|batch=
9004952950|5600083620|000000000014000009|23.920 TO|1000/SGLM|batch=
9004952951|5600083620|000000000014000009|23.750 TO|1000/SGLM|batch=
9004952958|5600083620|000000000014000009|26.420 TO|1000/SGLM|batch=
9004952963|5600083620|000000000014000009|24.370 TO|1000/SGLM|batch=
9004952967|5600083620|000000000014000009|39.500 TO|1000/SGLM|batch=
9004952971|5600083620|000000000014000009|23.760 TO|1000/SGLM|batch=
9004952973|5600083620|000000000014000009|33.860 TO|1000/SGLM|batch=
9004952975|5600083620|000000000014000009|22.570 TO|1000/SGLM|batch=
9004952978|5600083620|000000000014000009|28.860 TO|1000/SGLM|batch=
9004952979|5600083620|000000000014000009|26.700 TO|1000/SGLM|batch=
9004952984|5600083620|000000000014000009|23.160 TO|1000/SGLM|batch=
9004952985|5600083620|000000000014000009|29.740 TO|1000/SGLM|batch=
9004952987|5600083620|000000000014000009|28.560 TO|1000/SGLM|batch=
9004952992|5600083620|000000000014000009|22.870 TO|1000/SGLM|batch=
9004952994|5600083620|000000000014000009|25.330 TO|1000/SGLM|batch=
9004952998|5600083620|000000000014000009|21.800 TO|1000/SGLM|batch=
9004953001|5600083620|000000000014000009|23.870 TO|1000/SGLM|batch=
9004953002|5600083620|000000000014000009|29.060 TO|1000/SGLM|batch=
9004953004|5600083620|000000000014000009|27.220 TO|1000/SGLM|batch=
9004953014|5600083620|000000000014000009|29.640 TO|1000/SGLM|batch=
9004953118|5600084211|000000000017035056|2 EA|1005/RCPT|batch=
9004953132|5600084213|000000000017035056|2 EA|1005/RCPT|batch=
9004953149|5600084237|000000000017035056|10 EA|1005/FKGU|batch=
9004953150|5600084238|000000000017035056|4 EA|1005/FKGU|batch=
9004953151|5600084239|000000000017035056|2 EA|1005/FKGU|batch=
9004953152|5600084215|000000000014000035|110 TO|1000/CLYC|batch=
9004953154|5600084241|000000000016000007|1,000 EA|1005/PPG1|batch=
9004953155|5600084242|000000000014000037|48.450 TO|1002/SGYD|batch=
9004953156|5600084243|000000000014000037|50.510 TO|1002/SGYD|batch=
9004953157|5600084244|000000000014000037|52.330 TO|1002/SGYD|batch=
9004953158|5600084210|000000000014000037|50.750 TO|1002/SGYD|batch=
9004953159|5600084245|000000000017035056|1 EA|1005/RCPT|batch=
9004953161|5600084246|000000000012000009|52.330 TO|1002/RMYD|batch=
9004953162|5600084247|000000000012000009|48.450 TO|1002/RMYD|batch=
9004953163|5600084248|000000000012000009|50.510 TO|1002/RMYD|batch=
9004953166|5600084215|000000000014000035|100 TO|1000/CLYC|batch=
9004953171|5600084246|000000000012000009|50.750 TO|1002/RMYD|batch=
9004953183|5600084252|000000000017098816|1 EA|1024/RCPT|batch=
