9004952595|5600074803|000000000014000035|41.230 TO|1002/CLYC|batch=
9004952596|5600074803|000000000014000035|41.720 TO|1002/CLYC|batch=
9004952597|5600074803|000000000014000035|42.410 TO|1002/CLYC|batch=
9004952598|5600074803|000000000014000035|41.540 TO|1002/CLYC|batch=
9004952599|5600074803|000000000014000035|41.040 TO|1002/CLYC|batch=
9004952600|5600074803|000000000014000035|41.750 TO|1002/CLYC|batch=
9004952601|5600074803|000000000014000035|41.090 TO|1002/CLYC|batch=
9004952603|5600074803|000000000014000035|42.140 TO|1002/CLYC|batch=
9004952604|5600074803|000000000014000035|42.360 TO|1002/CLYC|batch=
9004952605|5600074803|000000000014000035|41.890 TO|1002/CLYC|batch=
9004952606|5600074803|000000000014000035|42.050 TO|1002/CLYC|batch=
9004952607|5600074803|000000000014000035|42.730 TO|1002/CLYC|batch=
9004952608|5600074803|000000000014000035|42.220 TO|1002/CLYC|batch=
9004952610|5600074803|000000000014000035|42.040 TO|1002/CLYC|batch=
9004952611|5600074803|000000000014000035|41.910 TO|1002/CLYC|batch=
9004952612|5600074803|000000000014000035|41.930 TO|1002/CLYC|batch=
9004952613|5600074803|000000000014000035|42.300 TO|1002/CLYC|batch=
9004952614|5600074803|000000000014000035|42.190 TO|1002/CLYC|batch=
9004952620|5600074808|000000000014000035|44.920 TO|1000/CLYC|batch=
9004952727|5600074902|000000000014000035|41.160 TO|1002/CLYC|batch=
9004952728|5600074902|000000000014000035|41.260 TO|1002/CLYC|batch=
9004952729|5600074902|000000000014000035|41.900 TO|1002/CLYC|batch=
9004952733|5600074902|000000000014000035|41.200 TO|1002/CLYC|batch=
9004952736|5600074903|000000000014000035|41.540 TO|1002/CLYC|batch=
9004952737|5600074903|000000000014000035|41.840 TO|1002/CLYC|batch=
9004952738|5600074903|000000000014000035|41.430 TO|1002/CLYC|batch=
9004952739|5600074903|000000000014000035|41.420 TO|1002/CLYC|batch=
9004952762|5600006418|000000000014000035|57.480 TO|1070/CLYC|batch=
9004952820|5600074808|000000000014000035|45.560 TO|1000/CLYC|batch=
9004952850|5600074808|000000000014000035|46.340 TO|1000/CLYC|batch=
