9004952511|5600083620|000000000014000009|20.440 TO|1000/SGLM|batch=
9004952512|5600083620|000000000014000009|22.580 TO|1000/SGLM|batch=
9004952514|5600083620|000000000014000009|24.110 TO|1000/SGLM|batch=
9004952536|5600083620|000000000014000009|36.100 TO|1000/SGLM|batch=
9004952537|5600083620|000000000014000009|25.220 TO|1000/SGLM|batch=
9004952538|5600083620|000000000014000009|23.650 TO|1000/SGLM|batch=
9004952554|5600083620|000000000014000009|31.160 TO|1000/SGLM|batch=
9004952555|5600083620|000000000014000009|27.640 TO|1000/SGLM|batch=
9004952556|5600083620|000000000014000009|23.570 TO|1000/SGLM|batch=
9004952567|5600083620|000000000014000009|26.690 TO|1000/SGLM|batch=
9004952568|5600083620|000000000014000009|24.180 TO|1000/SGLM|batch=
9004952569|5600083620|000000000014000009|32.920 TO|1000/SGLM|batch=
9004952573|5600083620|000000000014000009|25.160 TO|1000/SGLM|batch=
9004952595|5600074803|000000000014000035|41.230 TO|1002/CLYC|batch=
9004952596|5600074803|000000000014000035|41.720 TO|1002/CLYC|batch=
9004952597|5600074803|000000000014000035|42.410 TO|1002/CLYC|batch=
9004952598|5600074803|000000000014000035|41.540 TO|1002/CLYC|batch=
9004952599|5600074803|000000000014000035|41.040 TO|1002/CLYC|batch=
9004952600|5600074803|000000000014000035|41.750 TO|1002/CLYC|batch=
9004952601|5600074803|000000000014000035|41.090 TO|1002/CLYC|batch=
9004952603|5600074803|000000000014000035|42.140 TO|1002/CLYC|batch=
9004952604|5600074803|000000000014000035|42.360 TO|1002/CLYC|batch=
9004952605|5600074803|000000000014000035|41.890 TO|1002/CLYC|batch=
9004952606|5600074803|000000000014000035|42.050 TO|1002/CLYC|batch=
9004952607|5600074803|000000000014000035|42.730 TO|1002/CLYC|batch=
9004952608|5600074803|000000000014000035|42.220 TO|1002/CLYC|batch=
9004952610|5600074803|000000000014000035|42.040 TO|1002/CLYC|batch=
9004952611|5600074803|000000000014000035|41.910 TO|1002/CLYC|batch=
9004952612|5600074803|000000000014000035|41.930 TO|1002/CLYC|batch=
9004952613|5600074803|000000000014000035|42.300 TO|1002/CLYC|batch=
9004952614|5600074803|000000000014000035|42.190 TO|1002/CLYC|batch=
9004952620|5600074808|000000000014000035|44.920 TO|1000/CLYC|batch=
9004952625|5600083539|000000000014000010|14,471 TO|1002/NBLM|batch=
9004952643|5600046295|000000000014000035|9,054.800 TO|1002/CLYC|batch=
9004952678|5600083620|000000000014000009|28.700 TO|1000/SGLM|batch=
9004952683|5600083620|000000000014000009|22.740 TO|1000/SGLM|batch=
9004952727|5600074902|000000000014000035|41.160 TO|1002/CLYC|batch=
9004952728|5600074902|000000000014000035|41.260 TO|1002/CLYC|batch=
9004952729|5600074902|000000000014000035|41.900 TO|1002/CLYC|batch=
9004952733|5600074902|000000000014000035|41.200 TO|1002/CLYC|batch=
9004952736|5600074903|000000000014000035|41.540 TO|1002/CLYC|batch=
9004952737|5600074903|000000000014000035|41.840 TO|1002/CLYC|batch=
9004952738|5600074903|000000000014000035|41.430 TO|1002/CLYC|batch=
9004952739|5600074903|000000000014000035|41.420 TO|1002/CLYC|batch=
9004952748|5600083620|000000000014000009|23.950 TO|1000/SGLM|batch=
9004952755|5600083620|000000000014000009|21.550 TO|1000/SGLM|batch=
9004952762|5600006418|000000000014000035|57.480 TO|1070/CLYC|batch=
9004952779|5600083620|000000000014000009|24.850 TO|1000/SGLM|batch=
9004952780|5600083620|000000000014000009|38.340 TO|1000/SGLM|batch=
9004952791|5600083620|000000000014000009|23.740 TO|1000/SGLM|batch=
9004952794|5600083620|000000000014000009|21.840 TO|1000/SGLM|batch=
9004952795|5600083620|000000000014000009|26.520 TO|1000/SGLM|batch=
9004952799|5600083620|000000000014000009|27.520 TO|1000/SGLM|batch=
9004952807|5600083620|000000000014000009|24.750 TO|1000/SGLM|batch=
9004952808|5600083620|000000000014000009|36.160 TO|1000/SGLM|batch=
9004952810|5600083620|000000000014000009|24.500 TO|1000/SGLM|batch=
9004952820|5600074808|000000000014000035|45.560 TO|1000/CLYC|batch=
9004952821|5600074808|000000000014000035|45.610 TO|1000/CLYC|batch=
9004952826|5600083620|000000000014000009|31.400 TO|1000/SGLM|batch=
9004952833|5600083620|000000000014000009|24.270 TO|1000/SGLM|batch=
9004952836|5600083620|000000000014000009|23.640 TO|1000/SGLM|batch=
9004952844|5600083620|000000000014000009|25.760 TO|1000/SGLM|batch=
9004952849|5600083620|000000000014000009|21.930 TO|1000/SGLM|batch=
9004952850|5600074808|000000000014000035|46.340 TO|1000/CLYC|batch=
