9004953184|5600084215|000000000014000035|50 TO|1000/CLYC
9004953185|5600084216|000000000014000035|50 TO|1000/CLYC
9004953186|5600084217|000000000014000035|50 TO|1000/CLYC
9004953187|5600084218|000000000014000035|50 TO|1000/CLYC
9004953188|5600084219|000000000014000035|50 TO|1000/CLYC
9004953189|5600084220|000000000014000035|50 TO|1000/CLYC
9004953190|5600084221|000000000014000035|50 TO|1002/CLYC
9004953191|5600084222|000000000014000035|50 TO|1002/CLYC
9004953192|5600084223|000000000014000035|50 TO|1002/CLYC
9004953193|5600084224|000000000014000035|50 TO|1002/CLYC
9004953194|5600084225|000000000014000035|50 TO|1002/CLYC
9004953195|5600084226|000000000014000035|50 TO|1002/CLYC
9004953196|5600084227|000000000014000035|50 TO|1014/CLYC
9004953197|5600084228|000000000014000035|50 TO|1014/CLYC
9004953198|5600084229|000000000014000035|50 TO|1014/CLYC
9004953199|5600084230|000000000014000035|50 TO|1014/CLYC
9004953200|5600084231|000000000014000035|50 TO|1014/CLYC
9004953201|5600084232|000000000014000035|50 TO|1014/CLYC
9004953202|5600084233|000000000014000035|50 TO|1004/CLYC
9004953203|5600084234|000000000014000035|50 TO|1004/CLYC
9004953204|5600084235|000000000014000035|50 TO|1004/CLYC
9004953205|5600084236|000000000014000035|50 TO|1004/CLYC
9004953217|5600084210|000000000014000037|50.750 TO|1002/SGYD
9004953224|5600084255|000000000014000037|50.330 TO|1002/SGYD
9004953225|5600084256|000000000012000009|50.500 TO|1002/RMYD
9004953226|5600084249|000000000012000009|53.330 TO|1002/RMYD
9004953236|5600084253|000000000014000035|50 TO|1002/CLYC
9004953237|5600084254|000000000014000035|50 TO|1014/CLYC
9004953246|5600084255|000000000014000037|50.750 TO|1002/SGYD
9004953247|5600084261|000000000011000024|50.750 TO|1002/RMYD
9004953248|5600084263|000000000011000014|50.750 TO|1002/RMYD
9004953256|5600084217|000000000014000035|50 TO|1000/CLYC
9004953257|5600084218|000000000014000035|50 TO|1000/CLYC
9004953258|5600084219|000000000014000035|50 TO|1000/CLYC
9004953259|5600084220|000000000014000035|50 TO|1000/CLYC
9004953260|5600084227|000000000014000035|50 TO|1014/CLYC
9004953261|5600084228|000000000014000035|50 TO|1014/CLYC
9004953262|5600084229|000000000014000035|50 TO|1014/CLYC
9004953263|5600084230|000000000014000035|50 TO|1014/CLYC
9004953264|5600084231|000000000014000035|50 TO|1014/CLYC
9004953265|5600084232|000000000014000035|50 TO|1014/CLYC
9004953266|5600084233|000000000014000035|50 TO|1004/CLYC
9004953267|5600084234|000000000014000035|50 TO|1004/CLYC
9004953268|5600084235|000000000014000035|50 TO|1004/CLYC
9004953269|5600084236|000000000014000035|50 TO|1004/CLYC
9004953274|5600084271|000000000017012382|200 EA|1024/RCPT
9004953303|5600084222|000000000014000035|50 TO|1002/CLYC
9004953305|5600084224|000000000014000035|50 TO|1002/CLYC
9004953306|5600084225|000000000014000035|50 TO|1002/CLYC
9004953307|5600084226|000000000014000035|50 TO|1002/CLYC
9004953332|5600084223|000000000014000035|50 TO|1002/CLYC
9004953333|5600084224|000000000014000035|50 TO|1002/CLYC
9004953334|5600084215|000000000014000035|50 TO|1000/CLYC
9004953335|5600084216|000000000014000035|50 TO|1000/CLYC
9004953337|5600084277|000000000016000007|1,650 EA|1003/BAG1
9004953354|5600084278|000000000014000035|10 TO|1006/RMYD
9004953356|5600084279|000000000014000035|10 TO|1005/RMYD
9004953357|5600084280|000000000014000035|10 TO|1008/RMYD
9004953358|5600084281|000000000014000035|10 TO|1009/RMYD
9004953359|5600084282|000000000014000035|10 TO|1003/RMYD
9004953360|5600084283|000000000017002141|2 EA|1006/RCPT
9004953361|5600084284|000000000017006864|6 EA|1006/RCPT
