SESSION|QS4/700 located at connection[0] session[0]|user=QNOVATE8
SELFIELD|txtI1-LOW=ZCL_IM_LE_SHP_DELV_INTECO*
SELFIELD|txtI2-LOW=A
TABLE|REPOSRC
TITLE|Data Browser: Table REPOSRC Select Entries         25
SBAR|
ALV|rows=25|cols=34
HDR|PROGNAME	R3STATE	SQLX	EDTX	DBNA	CLAS	TYPE	OCCURS	SUBC	APPL	SECU	CNAM	CDAT	VERN	LEVL	RSTAT	RMAND	RLOAD	UNAM	UDAT	UTIME	DATALG	VARCL	DBAPL	FIXPT	SSET	SDATE	STIME	IDATE	ITIME	LDBNAME	UCCHECK	MAXLINELN	DATA	
ROW14|ZCL_IM_LE_SHP_DELV_INTECO=====CM00B	A			D$				I	S		IBMABAP02	19.10.2024	000003			200		IBMABAP02	19.10.2024	10:10:19	123	X	S	X		19.10.2024	101019	19.10.2024	101019	D$S	X	0	FF00040000121F9D02770CFF19148030972195A1842183219F2105C8F3647063886770658800923E403A9E2198C183210048BB00793E40F930201DC410091409	
ROW15|ZCL_IM_LE_SHP_DELV_INTECO=====CM00C	A			D$				I	S		IBMABAP02	19.10.2024	000003			200		IBMABAP15	11.02.2025	13:20:21	141	X	S	X		11.02.2025	132021	11.02.2025	132021	D$S	X	0	FF00060000121F9D026F0CFF191480D097C1952184C183C19FC105C8CB64486388674865A8009239403A9EA1982183A10048A700793940F932205DC450091429	
ROW16|ZCL_IM_LE_SHP_DELV_INTECO=====CM00D	A			D$				I	S		IBMABAP02	19.10.2024	000003			200		IBMABAP02	19.10.2024	10:10:19	110	X	S	X		19.10.2024	101019	19.10.2024	101019	D$S	X	0	FF00040000121F9D028CE13F830210E632A43294306430E433A400799E0C6E0CF10CAE0C1140D20748C733043378300400691720CF07281F06A4831822812201	
ROW17|ZCL_IM_LE_SHP_DELV_INTECO=====CM00E	A			D$				I	S		IBMABAP02	19.10.2024	000005			200		IBMABAP19	17.04.2025	10:48:30	730	X	S	X		17.04.2025	104830	17.04.2025	104830	D$S	X	0	FF00400000121F9D026DDF6A7AD30682E8FB29BE259148A5F688D403023B20818D802091AAB21024210A752292566D0FFDEBE9DBB560FDB171510E258B474F78	
ROW18|ZCL_IM_LE_SHP_DELV_INTECO=====CM00F	A			D$				I	S		IBMABAP02	19.10.2024	000004			200		IBMABAP30	19.06.2025	13:17:44	882	X	S	X		19.06.2025	131744	19.06.2025	131744	D$S	X	0	FF00560000121F9D02B46F6EBD690341149E9FE2B72415A9943E22F581020E48DC040E12A92A8B002928844409ADDA3EF4AFD3B3EB9AF5FA1653A909EB1D1D05	
ROW19|ZCL_IM_LE_SHP_DELV_INTECO=====CM00G	A			D$				I	S		IBMABAP02	19.10.2024	000003			200		IBMABAP02	19.10.2024	10:10:19	113	X	S	X		19.10.2024	101019	19.10.2024	101019	D$S	X	0	FF00040000121F9D023286FF0C0A4098CB90CA50C290C190CF9002E47932B831C433B8324400491F201DCF10CCE0C11000A45D803C1FA07C18900E6288048A04	
ROW20|ZCL_IM_LE_SHP_DELV_INTECO=====CM00H	A			D$				I	S		IBMABAP02	19.10.2024	000003			200		IBMABAP02	19.10.2024	10:10:19	133	X	S	X		19.10.2024	101019	19.10.2024	101019	D$S	X	0	FF00040000121F9D0219C37F060520CC6548652861C860C8674801F23C19DC18E2195C192280A40F908E670866F0600800D22E409E0F503E0C48073144024502	
ROW21|ZCL_IM_LE_SHP_DELV_INTECO=====CO	A			D$				I	S		IBMABAP02	19.10.2024	000002			200		IBMABAP02	19.10.2024	10:10:18	46	X	S	X		19.10.2024	101018	19.10.2024	101018	D$S	X	0	FF00020000121F9D028CE13F43014311433E4309432A4332984C6150602886F2328132790C7A409151382C210000	
ROW22|ZCL_IM_LE_SHP_DELV_INTECO=====CP	A		X	D$				K	S		IBMABAP02	19.10.2024	000002			200		IBMABAP02	19.10.2024	10:10:18	400	X	S	X		17.08.2026	100711	19.10.2024	101018	D$S	X	0	FF00320000121F9D02BF5DB36B891008A3F0F929B2374150FFA0AB2D28B00F28BAE8264A5D126C1575837EBD1D95720A5B415C76673C3CCC8C838B5EBCEF793F	
ROW23|ZCL_IM_LE_SHP_DELV_INTECO=====CT	A			D$				I	S		IBMABAP02	19.10.2024	000002			200		IBMABAP02	19.10.2024	10:10:18	216		S	X		19.10.2024	101018	19.10.2024	101018	D$S	X	0	FF00060000121F9D02A79DAA5741180683F728E22238F8125550A83FA038B8484D525BD0286D8AF4E9F5BE2F430771B6433972C9F79364B85CF0C614638E112C	
ROW24|ZCL_IM_LE_SHP_DELV_INTECO=====CU	A			D$				I	S		IBMABAP02	19.10.2024	000002			200		IBMABAP02	19.10.2024	10:10:18	228	X	S	X		19.10.2024	101018	19.10.2024	101018	D$S	X	0	FF00120000121F9D02BB1DB35B411008A2F079149FA07730335AB0940AA96E623303212AB49E7F3BEE8284205EAF0D1FFBAB733567C6196150E00E8D86043821	
