SESSION|QS4/700 located at connection[0] session[0]|user=QNOVATE8
SELFIELD|txtI2-LOW=/SPE/CL_INB_ACTION_INFO*
TABLE|WBCROSSGT
TITLE|Data Browser: Table WBCROSSGT Select Entries        137
SBAR|
ALV|rows=137|cols=11
HDR|OTYPE	NAME	INCLUDE	DIRECT	INDIRECT	COMPONENT	ISHASH	UDATE	UZEIT	UNAME	START_FULLNAME_TAG	
ROW35|DA	/SPE/CL_INB_ACTION_INFO\DA:C_OBJ_SPLIT_DLV_NEW	FV50XF0B_LIEFERUNG_RENAME	X				17.12.2023	00:00:27	BATCH_USER	TY	
ROW36|DA	/SPE/CL_INB_ACTION_INFO\DA:C_OBJ_SPLIT_DLV_NEW	FV50XF0B_NOT_SUPPORTED_SCENARI	X				17.12.2023	00:00:27	BATCH_USER	TY	
ROW37|DA	/SPE/CL_INB_ACTION_INFO\DA:C_OBJ_SPLIT_DLV_NEW	LV50SF10	X				20.01.2024	00:00:17	BATCH_USER	TY	
ROW38|DA	/SPE/CL_INB_ACTION_INFO\DA:C_OBJ_SPLIT_DLV_ORG	FV50XF0B_LIEFERUNG_RENAME	X				17.12.2023	00:00:27	BATCH_USER	TY	
ROW39|DA	/SPE/CL_INB_ACTION_INFO\ME:GET_API_INFO\DA:EV_CALLING_SERVICE	LV50SF0T	X				20.01.2024	00:00:17	BATCH_USER	TY	
ROW40|DA	/SPE/CL_INB_ACTION_INFO\ME:GET_API_INFO\DA:EV_CALLING_SERVICE	MV50AF0T_TVLK_SELECT	X				17.12.2023	00:00:27	BATCH_USER	TY	
ROW41|DA	/SPE/CL_INB_ACTION_INFO\ME:GET_API_INFO\DA:EV_SPLIT	LV50LF14	X				20.01.2024	00:00:17	BATCH_USER	TY	
ROW42|DA	/SPE/CL_INB_ACTION_INFO\ME:GET_API_INFO\DA:EV_VAR_1	LV50SF0T	X				20.01.2024	00:00:17	BATCH_USER	TY	
ROW43|DA	/SPE/CL_INB_ACTION_INFO\ME:GET_API_INFO\DA:EV_VAR_1	MV50AF0T_TVLK_SELECT	X				17.12.2023	00:00:27	BATCH_USER	TY	
ROW44|DA	/SPE/CL_INB_ACTION_INFO\ME:GET_INFO\DA:E_ACTION1	FV50XF0B_BELEG_SICHERN	X				17.12.2023	00:00:27	BATCH_USER	TY	
