SESSION|QS4/700 located at connection[0] session[0]|user=QNOVATE8
SELFIELD|txtI1-LOW=CL_*OUTB_DELIV*
SELFIELD|txtI2-LOW=A
TABLE|REPOSRC
TITLE|Data Browser: Table REPOSRC Select Entries         56
SBAR|
ALV|rows=56|cols=34
HDR|PROGNAME	R3STATE	SQLX	EDTX	DBNA	CLAS	TYPE	OCCURS	SUBC	APPL	SECU	CNAM	CDAT	VERN	LEVL	RSTAT	RMAND	RLOAD	UNAM	UDAT	UTIME	DATALG	VARCL	DBAPL	FIXPT	SSET	SDATE	STIME	IDATE	ITIME	LDBNAME	UCCHECK	MAXLINELN	DATA	
ROW15|CL_GOAL_OUTB_DELIVERY=========CM002	A			D$				I	S		SAP	06.06.2015	000001			001		SAP	06.06.2015	15:14:09	683	X	S	X		06.06.2015	151409	06.06.2015	151409	D$S	X	0	FF00420000121F9D02DEBED9F5A4114461F8FD29DCD136C1D48FAB464D284B75136489A2AD57C40F4A8C820628A9BDE85FD7F7CC8ACBEE2CEBDEE9CC9E3C81CC	
ROW16|CL_GOAL_OUTB_DELIVERY=========CM003	A			D$				I	S		SAP	06.06.2015	000001			001		SAP	06.06.2015	15:14:09	169	X	S	X		06.06.2015	151409	06.06.2015	151409	D$S	X	0	FF000A0000121F9D02A7DDB249411806A2F077949C40DC7800A1B5BAF087A8EBA2256A416B5170E9D5EB3382E80DC40C1F843799CC6A788FD0E1C4949C1563E6	
ROW17|CL_GOAL_OUTB_DELIVERY=========CO	A			D$				I	S		SAP	06.06.2015	000001			001		SAP	06.06.2015	15:14:09	46	X	S	X		06.06.2015	151409	06.06.2015	151409	D$S	X	0	FF00020000121F9D023A86FF0C050C450CF90C250CA90CC96032854181A118CACB04CAE431E8014546E1B0840000	
ROW18|CL_GOAL_OUTB_DELIVERY=========CP	A		X	D$				K	S		SAP	06.06.2015	000001			001		SAP	06.06.2015	15:14:09	395	X	S	X		06.06.2015	151409	06.06.2015	151409	D$S	X	0	FF00320000121F9D026DD7EC562284A228BC1E45E62608EA0DBAE88F088281A8A0AB28754870465127E8E96DE9213C958D080ECC392E3E8E9E1907BDD87BED3F	
ROW19|CL_GOAL_OUTB_DELIVERY=========CT	A			D$				I	S		SAP	06.06.2015	000001			001		SAP	06.06.2015	15:14:09	212		S	X		06.06.2015	151409	06.06.2015	151409	D$S	X	0	FF00060000121F9D0269A75A56108681E07C8A78113CF80FBE104128880A9EA4A6A92D68953E907EBDCE4E0E3D88F71ECA90CD7667D31C6627F8608A31D70809	
ROW20|CL_GOAL_OUTB_DELIVERY=========CU	A			D$				I	S		SAP	06.06.2015	000001			001		SAP	06.06.2015	15:14:09	262	X	S	X		06.06.2015	151409	06.06.2015	151409	D$S	X	0	FF001C0000121F9D02AB1D335A411086C2F0FF283E41EF905911044299D055946509A95176DBABDBAF1303ADC4CBCDC3C7B6B3B1EDE6EC3F3B1B7204B8628F07	
ROW21|CL_GOAL_OUTB_DELIVERY_HEAD====CCDEF	A			D$				I	S		SAP	06.06.2015	000001			001		SAP	06.06.2015	15:14:09	187	X	S	X		06.06.2015	151409	06.06.2015	151409	D$S	X	0	FF00080000121F9D02B453062B08C340109D4F099E54FCA990560C68529A2AE4EBEBECB6B227E9B1226158BA99D9B487B71433CE38B01C9E28E8F99C704364EF	
ROW22|CL_GOAL_OUTB_DELIVERY_HEAD====CCIMP	A			D$				I	S		SAP	06.06.2015	000001			001		SAP	06.06.2015	15:14:09	174	X	S	X		06.06.2015	151409	06.06.2015	151409	D$S	X	0	FF00080000121F9D02DA3EB5AC300803C1F994A5C7D29F0A51A9104D31E9A15F6F67372D7A10726B6909C324E33E4498112BCE3891823B127ADE19578CD44246	
ROW23|CL_GOAL_OUTB_DELIVERY_HEAD====CCMAC	A			D$				I	S		SAP	06.06.2015	000001			001		SAP	06.06.2015	15:14:09	144	X	S	X		06.06.2015	151409	06.06.2015	151409	D$S	X	0	FF00060000121F9D02B447062B08C430109D4F091EFDABD2AD28D846DC7AD8AF5F5FABB817C1EB226518329926E961B4EAA803343D342B51ABCEBAA00D3AEE5D	
ROW24|CL_GOAL_OUTB_DELIVERY_HEAD====CI	A			D$				I	S		SAP	06.06.2015	000001			001		SAP	06.06.2015	15:14:09	49	X	S	X		06.06.2015	151409	06.06.2015	151409	D$S	X	0	FF00020000121F9D0219C37F86028622864C86328644861286540605866220990C646732E433E431E8014546E1B0850000	
ROW25|CL_GOAL_OUTB_DELIVERY_HEAD====CM001	A			D$				I	S		SAP	06.06.2015	000001			001		SAP	06.06.2015	15:14:09	141	X	S	X		06.06.2015	151409	06.06.2015	151409	D$S	X	0	FF000A0000121F9D02B45B063908C240147D47E104DCC01D246C908D7B83159068C0682161E3D5F14712E40ADAC9CB24ED9BA69BC94FCB4C2472520E641424DA	
