SESSION|QS4/700 located at connection[0] session[0]|user=QNOVATE8
SELFIELD|txtI1-LOW=CL_API_OUTBOUND_DELIV*
SELFIELD|txtI2-LOW=A
TABLE|REPOSRC
TITLE|Data Browser: Table REPOSRC Select Entries        200
SBAR|Selection restricted to 200 hits
ALV|rows=200|cols=34
HDR|PROGNAME	R3STATE	SQLX	EDTX	DBNA	CLAS	TYPE	OCCURS	SUBC	APPL	SECU	CNAM	CDAT	VERN	LEVL	RSTAT	RMAND	RLOAD	UNAM	UDAT	UTIME	DATALG	VARCL	DBAPL	FIXPT	SSET	SDATE	STIME	IDATE	ITIME	LDBNAME	UCCHECK	MAXLINELN	DATA	
ROW14|CL_API_OUTBOUND_DELIVE_DPC====CM00B	A			D$				I	S		SAP	15.06.2018	000021			001		SAP	27.05.2022	11:49:06	874		S	X		27.05.2022	114906	27.05.2022	114906	D$S	X	0	FF004A0000121F9D02AF7DF3E94D1B08A2F8FB28A83D24ADD436C9B98D44884951DB9006DAB4278B1092A01240409AF492AF4EDF8C8165F19FF454D978F453EC	
ROW15|CL_API_OUTBOUND_DELIVE_DPC====CM00C	A			D$				I	S		SAP	15.06.2018	000021			001		SAP	27.05.2022	11:49:06	189		S	X		27.05.2022	114906	27.05.2022	114906	D$S	X	0	FF00080000121F9D0269AF8C5910868128FCFD946E8283E20F70D05A4B07ABD8A23815A1451DAC504570F1AFD797D44528AE520C8FCBDDBDBB24C3CB116A3CE1	
ROW16|CL_API_OUTBOUND_DELIVE_DPC====CM00D	A			D$				I	S		SAP	15.06.2018	000021			001		SAP	27.05.2022	11:49:06	530		S	X		27.05.2022	114906	27.05.2022	114906	D$S	X	0	FF002A0000121F9D02B46B6E3D09C440143E3F8537D1448DCAAB26088B9A0818C1DBD306D12889828115F5C5BF8EA72D2BEDDE7C94C2E40BDD76A65D484E3B9D	
ROW17|CL_API_OUTBOUND_DELIVE_DPC====CM00E	A			D$				I	S		SAP	15.06.2018	000021			001		SAP	27.05.2022	11:49:06	414		S	X		27.05.2022	114906	27.05.2022	114906	D$S	X	0	FF00180000121F9D02B463763B090341143E8FC2257A214F804985A2264A1B20FE5C350A059A944A6811AF78F57A664A94B425C41B2D76F325ECEEECEC423273	
ROW18|CL_API_OUTBOUND_DELIVE_DPC====CM00F	A			D$				I	S		SAP	15.06.2018	000021			001		SAP	27.05.2022	11:49:06	492		S	X		27.05.2022	114906	27.05.2022	114906	D$S	X	0	FF00220000121F9D02B46B6E3B09034118FE1FA5F10A6FF4093051288644C500F170D554016D44201430DEF0EAF8EF6C116C162D89C655265FE89E66B717FFCE	
ROW19|CL_API_OUTBOUND_DELIVE_DPC====CM00G	A			D$				I	S		SAP	15.06.2018	000021			001		SAP	27.05.2022	11:49:06	227		S	X		27.05.2022	114906	27.05.2022	114906	D$S	X	0	FF00100000121F9D02ABFDB2D741100882F03CCAD516FA04369E989C5130E24F4921246202146AEBABE3DC124934C6582A6CBE00BBCB058A9909076A185220C3	
ROW20|CL_API_OUTBOUND_DELIVE_DPC====CM00H	A			D$				I	S		SAP	15.06.2018	000021			001		SAP	27.05.2022	11:49:06	262		S	X		27.05.2022	114906	27.05.2022	114906	D$S	X	0	FF000A0000121F9D02B45B2D2B08C340703EC5A31EF40F148A14E9C107D2839E4A69EB03D4D6FABEF8EB3ABB3EAB50C5832086A19B4D36BB2D9949521C5020A6	
ROW21|CL_API_OUTBOUND_DELIVE_DPC====CM00I	A			D$				I	S		SAP	15.06.2018	000021			001		SAP	27.05.2022	11:49:06	187		S	X		27.05.2022	114906	27.05.2022	114906	D$S	X	0	FF00060000121F9D02D24ED9AC200C0341781EC5A31EF41184A23D14D493174F419AA805AD7F15F5E2ABD72F5B147C01412C4326BB996403D921AAD5013B0555	
ROW22|CL_API_OUTBOUND_DELIVE_DPC====CM00J	A			D$				I	S		SAP	15.06.2018	000021			001		SAP	27.05.2022	11:49:06	231		S	X		27.05.2022	114906	27.05.2022	114906	D$S	X	0	FF00080000121F9D02DA5EB5AC200C03C1F9941EF5A07FA050A4480F56911EF454421BB5A0AD8F8A7AF1D7EB6CC44ABD288A07310CDD6CF69185CC90A28443AC	
ROW23|CL_API_OUTBOUND_DELIVE_DPC====CM00M	A			D$				I	S		SAP	15.06.2018	000021			001		SAP	27.05.2022	11:49:06	274		S	X		27.05.2022	114907	27.05.2022	114906	D$S	X	0	FF000A0000121F9D02DA6ED9AC260C4451F87B942EEBA2A53E8042D55002FE1451D1550849AA426BD4DABF8DAFAEE78EB456042D2E04E97098999B39736F42CE	
