SESSION|QS4/700 located at connection[0] session[0]|user=QNOVATE8
SELFIELD|txtI1-LOW=CL_CFD_ODATA*
SELFIELD|txtI2-LOW=A
TABLE|REPOSRC
TITLE|Data Browser: Table REPOSRC Select Entries        200
SBAR|Selection restricted to 200 hits
ALV|rows=200|cols=34
HDR|PROGNAME	R3STATE	SQLX	EDTX	DBNA	CLAS	TYPE	OCCURS	SUBC	APPL	SECU	CNAM	CDAT	VERN	LEVL	RSTAT	RMAND	RLOAD	UNAM	UDAT	UTIME	DATALG	VARCL	DBAPL	FIXPT	SSET	SDATE	STIME	IDATE	ITIME	LDBNAME	UCCHECK	MAXLINELN	DATA	
ROW14|CL_CFD_ODATA_EXPAND_TREE_STEP=CCAU	A			D$				I	S		SAP	19.11.2020	000001			000		SAP	19.11.2020	11:22:52	100	X	S	X		19.11.2020	112252	19.11.2020	112252	D$S	X	0	FF00040000121F9D02730CFF19B41894805881A194A198211548973064306402D90A409C0F142D6248068BA7014573A0AC7CA0A8024325545E81C191C1098803	
ROW15|CL_CFD_ODATA_EXPAND_TREE_STEP=CCDEF	A			D$				I	S		SAP	19.11.2020	000001			000		SAP	19.11.2020	11:22:52	187	X	S	X		19.11.2020	112252	19.11.2020	112252	D$S	X	0	FF00080000121F9D02B453062B08C340109D4F099E54FCA990560C68529A2AE4EBEBECB6B227E9B1226158BA99D9B487B71433CE38B01C9E28E8F99C704364EF	
ROW16|CL_CFD_ODATA_EXPAND_TREE_STEP=CCIMP	A			D$				I	S		SAP	19.11.2020	000001			000		SAP	19.11.2020	11:22:52	174	X	S	X		19.11.2020	112252	19.11.2020	112252	D$S	X	0	FF00080000121F9D02699F5A56188481E07CCAD263E94F85A85488A698F4D0AFB7B39B163D08B9B5B4846192711F22CC8815679C48C11D093DEF8C2B466A2123	
ROW17|CL_CFD_ODATA_EXPAND_TREE_STEP=CCMAC	A			D$				I	S		SAP	19.11.2020	000001			000		SAP	19.11.2020	11:22:52	144	X	S	X		19.11.2020	112252	19.11.2020	112252	D$S	X	0	FF00060000121F9D02698F0C56108861203A9F123CFA57A55B51B08DB8F5B05FBFBE56712F82D745CA3064324DD2C368D55107687A6856A2569D75411B74DCBB	
ROW18|CL_CFD_ODATA_EXPAND_TREE_STEP=CM003	A			D$				I	S		SAP	19.11.2020	000001			000		SAP	19.11.2020	11:22:52	420	X	S	X		19.11.2020	112252	19.11.2020	112252	D$S	X	0	FF001C0000121F9D026DCFEC76120682287C1EA5774822C6075012A4451B812AC50BAF8812A246FE52C0C428CF8E5FB7203646418C41EDE6A493D9EDCC4EB267	
ROW19|CL_CFD_ODATA_EXPAND_TREE_STEP=CM005	A			D$				I	S		SAP	19.11.2020	000001			000		SAP	19.11.2020	11:22:52	138	X	S	X		19.11.2020	112252	19.11.2020	112252	D$S	X	0	FF00060000121F9D028CE13F830210FA32B83284307830F833B80079990C690CF10CC940320548E703C9448612208E674865A8602800B2F2C032250C45409154	
ROW20|CL_CFD_ODATA_EXPAND_TREE_STEP=CM006	A			D$				I	S		SAP	19.11.2020	000001			000		SAP	19.11.2020	11:22:52	302	X	S	X		19.11.2020	112252	19.11.2020	112252	D$S	X	0	FF00140000121F9D02DE8ED9EC340C0341781EC567A4F204502934293F0A0D22458253844A2888F2A312105C78F5F2D948985B73A39557A3D8BBF6C6398C67D7	
ROW21|CL_CFD_ODATA_EXPAND_TREE_STEP=CM007	A			D$				I	S		SAP	19.11.2020	000001			000		SAP	19.11.2020	11:22:52	153	X	S	X		19.11.2020	112252	19.11.2020	112252	D$S	X	0	FF00060000121F9D02B453EE2A080341143D9F922FF00FEC0CD8A88D7D105D438A3C888B68E3AF278755C4560B2D0C9799B93B2F162EBB0C646245CE96251B16	
ROW22|CL_CFD_ODATA_EXPAND_TREE_STEP=CM008	A			D$				I	S		SAP	19.11.2020	000001			000		SAP	19.11.2020	11:22:52	148	X	S	X		19.11.2020	112252	19.11.2020	112252	D$S	X	0	FF00060000121F9D0269A70C5610868120FA3EA55FE01FF466C14BEBC57B29312D05B52546D14B7FBD0E2B945E3C0B1A86DD9DECEC92C39030930925050776EC	
ROW23|CL_CFD_ODATA_EXPAND_TREE_STEP=CM009	A			D$				I	S		SAP	19.11.2020	000001			000		SAP	19.11.2020	11:22:52	131	X	S	X		19.11.2020	112252	19.11.2020	112252	D$S	X	0	FF00060000121F9D027B0CFF191480D097C1952184C183C19FC105C8CB644863886748069229403A1F4826329400713C432A4305430190950796296128028AA4	
ROW24|CL_CFD_ODATA_EXPAND_TREE_STEP=CM00A	A			D$				I	S		SAP	19.11.2020	000001			000		SAP	19.11.2020	11:22:52	186	X	S	X		19.11.2020	112252	19.11.2020	112252	D$S	X	0	FF00060000121F9D02D24ED9A3200C0451F81D2517D01BD819B0511BFBB0E8262E981F9245B4F1EAF1CB086221D869E1F2D8F9DB9949F15E56A332B056AE9D56	
ROW25|CL_CFD_ODATA_EXPAND_TREE_STEP=CM00F	A			D$				I	S		SAP	19.11.2020	000001			000		SAP	19.11.2020	11:22:52	149	X	S	X		19.11.2020	112252	19.11.2020	112252	D$S	X	0	FF00060000121F9D02B453F62808034114FE8E921378033B03366A631F44D790C224C445B4F1EAC9C70A62A99582CB6366DECEDF168F5D460AB1A264CB920D0B	
ROW26|CL_CFD_ODATA_EXPAND_TREE_STEP=CM00H	A			D$				I	S		SAP	19.11.2020	000001			000		SAP	19.11.2020	11:22:52	150	X	S	X		19.11.2020	112252	19.11.2020	112252	D$S	X	0	FF00060000121F9D021DC37F060520F46570650861F060F0677001F23219D218E2199281640A90CE0792890C25401CCF90CA50C1500064E581654A188A8022A9	
ROW27|CL_CFD_ODATA_EXPAND_TREE_STEP=CM00I	A			D$				I	S		SAP	19.11.2020	000001			000		SAP	19.11.2020	11:22:52	400	X	S	X		19.11.2020	112252	19.11.2020	112252	D$S	X	0	FF00160000121F9D02DA8ED9ED240C0451F83C4A2FF102DF401302247221182451AF1A7ED69F482DE92281A7C7AF5B0BA5502F15D3CD497767DBE96ED2736676	
ROW28|CL_CFD_ODATA_EXPAND_TREE_STEP=CM00J	A			D$				I	S		SAP	19.11.2020	000001			000		SAP	19.11.2020	11:22:52	232	X	S	X		19.11.2020	112252	19.11.2020	112252	D$S	X	0	FF00100000121F9D02D27EF9AC2008C441781E65CF813D410445F6072C233BD429A282A282280D7A7AFBB470BBD9B1D8654067C5FD5D66E74395CBA0B142CD35	
ROW29|CL_CFD_ODATA_EXPAND_TREE_STEP=CM00K	A			D$				I	S		SAP	19.11.2020	000001			000		SAP	19.11.2020	11:22:52	564	X	S	X		19.11.2020	112252	19.11.2020	112252	D$S	X	0	FF001A0000121F9D0269CF6C7BD20882003C3F65D37EB14DE92FA826D8036B82683C62629AE67295034D05299C6DFDD2BF6E9F99BDF338118A69AB49D94CF67D	
ROW30|CL_CFD_ODATA_EXPAND_TREE_STEP=CM00L	A			D$				I	S		SAP	19.11.2020	000001			000		SAP	19.11.2020	11:22:52	134	X	S	X		19.11.2020	112252	19.11.2020	112252	D$S	X	0	FF00060000121F9D026F0CFF191480D097C1952184C183C19FC105C8CB644863886748069229403A1F4826329400713C432A4305430190950796296128028AA4	
ROW31|CL_CFD_ODATA_EXPAND_TREE_STEP=CO	A			D$				I	S		SAP	19.11.2020	000001			000		SAP	19.11.2020	11:22:52	54	X	S	X		19.11.2020	112252	19.11.2020	112252	D$S	X	0	FF00040000121F9D021DC37F0605200C600862F067086170657006932E40B16028CF1328E3C7A00756370A871BFC0F678DC211080100	
