SESSION|QS4/700 located at connection[0] session[0]|user=QNOVATE8
SELFIELD|txtI1-LOW=CL_API_MATERIAL_DOCUME_DPC_EXT*
SELFIELD|txtI2-LOW=A
TABLE|REPOSRC
TITLE|Data Browser: Table REPOSRC Select Entries         43
SBAR|
ALV|rows=43|cols=34
HDR|PROGNAME	R3STATE	SQLX	EDTX	DBNA	CLAS	TYPE	OCCURS	SUBC	APPL	SECU	CNAM	CDAT	VERN	LEVL	RSTAT	RMAND	RLOAD	UNAM	UDAT	UTIME	DATALG	VARCL	DBAPL	FIXPT	SSET	SDATE	STIME	IDATE	ITIME	LDBNAME	UCCHECK	MAXLINELN	DATA	
ROW14|CL_API_MATERIAL_DOCUME_DPC_EXTCM00F	A			D$				I	S		SAP	30.01.2017	000008			001		SAP	01.04.2022	21:49:52	577	X	S	X		01.04.2022	214952	01.04.2022	214952	D$S	X	0	FF00320000121F9D02D2BE19F4B40D0451F8FD941CE9A1ED2FA02722CA8182500FBD592636212284101B4A2FFDEBF4ED2CD476BC1B7923B58CF0E8939C8D3D2F	
ROW15|CL_API_MATERIAL_DOCUME_DPC_EXTCM00G	A			D$				I	S		SAP	24.04.2017	000007			001		SAP	01.04.2022	21:49:52	522	X	S	X		01.04.2022	214952	01.04.2022	214952	D$S	X	0	FF001E0000121F9D02D29EB5ED241043C1F9943E8A09FA059890804A224894179F1A58CB25228BDC225F8F734ED1BD10634431986D26DBED75213D9D99B3800D	
ROW16|CL_API_MATERIAL_DOCUME_DPC_EXTCM00H	A			D$				I	S		SAP	24.04.2017	000007			001		SAP	01.04.2022	21:49:52	414	X	S	X		01.04.2022	214952	01.04.2022	214952	D$S	X	0	FF00160000121F9D026DC78A561A0682E07CCA3DAA50FF4021D0AA018D45FBE2D351D3AB094613DB2AF6EBE3EC5E35A905C587A09263486EF7F62E81EECEECA5	
ROW17|CL_API_MATERIAL_DOCUME_DPC_EXTCM00I	A			D$				I	S		SAP	24.04.2017	000007			001		SAP	01.04.2022	21:49:52	413	X	S	X		01.04.2022	214952	01.04.2022	214952	D$S	X	0	FF00160000121F9D0269C78A561A0682E07CCA3DAA50FF402190AA018D45FBE2D311936843A389B68AFDFA38BB579BD482E24350C931F4B2777B9783ECCEEC5D	
ROW18|CL_API_MATERIAL_DOCUME_DPC_EXTCM00J	A			D$				I	S		SAP	24.04.2017	000007			001		SAP	01.04.2022	21:49:52	262	X	S	X		01.04.2022	214952	01.04.2022	214952	D$S	X	0	FF00120000121F9D02AF1D335841180682E87C8AC7F6A07FA05050F0A25EBC0769AB16AC55A3E2DFD7D958B54AD58B20926548BADB24DB43789350946851230C	
ROW19|CL_API_MATERIAL_DOCUME_DPC_EXTCM00K	A			D$				I	S		SAP	31.01.2018	000006			001		SAP	01.04.2022	21:49:52	383	X	S	X		01.04.2022	214952	01.04.2022	214952	D$S	X	0	FF00340000121F9D026DDF0C7A12068228FC7E0A473DA8BF800381463D08464DF4D620A9424201DBAAF1E25FC7B725A1220B26D4A8CBBC7C876E6777E861FA76	
ROW20|CL_API_MATERIAL_DOCUME_DPC_EXTCM00L	A			D$				I	S		SAP	31.01.2018	000007			001		SAP	01.04.2022	21:49:52	417	X	S	X		01.04.2022	214952	01.04.2022	214952	D$S	X	0	FF001E0000121F9D02DA9EF9EC240C0461FC7B148F70509FA0262434CA0135C683B74D81AA4D28256DF1CFC557C76FA72905D995440F453BF98565BB9D190E5F	
ROW21|CL_API_MATERIAL_DOCUME_DPC_EXTCM00M	A			D$				I	S		SAP	31.01.2018	000006			001		SAP	01.04.2022	21:49:52	997	X	S	X		01.04.2022	214952	01.04.2022	214952	D$S	X	0	FF00640000121F9D02D6BEB5EDA60D04D1F994487D491ED2AA1FD04A51684BA4865409E9455565117052240C149CB479E9AFA7676630EBE01B6D4138DED1D186	
ROW22|CL_API_MATERIAL_DOCUME_DPC_EXTCM00N	A			D$				I	S		SAP	31.01.2018	000006			001		SAP	01.04.2022	21:49:52	796	X	S	X		01.04.2022	214952	01.04.2022	214952	D$S	X	0	FF004C0000121F9D0269DF7C7BDB8481307E1F05EDCDDA179DF60532294ABAB5D2BA445D366DAF10039AA225210B345A3E7DF7F80CE16F68BBAA0DE0D34F8001	
ROW23|CL_API_MATERIAL_DOCUME_DPC_EXTCM00O	A			D$				I	S		SAP	31.01.2018	000006			001		SAP	01.04.2022	21:49:52	400	X	S	X		01.04.2022	214952	01.04.2022	214952	D$S	X	0	FF00240000121F9D0269D76C561A06A2287C1EA54BBBD0375028346817AD222EDC85210D35D03F9228F8F4F5CC049D649234B69BFC5D3E2893E6DE74717AEEDC	
