MANDT	FKNUM	VBTYP	FKART	STERM	PRSDT	BUDAT	EXTI1	EXTI2	STBER	STFRE	STABR	ERNAM	ERDAT	ERZET	AENAM	AEDAT	AEZET
700	1600698922	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:27:58			00:00:00
700	1600698923	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:28:00			00:00:00
700	1600698924	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:31:07			00:00:00
700	1600698925	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:31:12			00:00:00
700	1600698926	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:31:13			00:00:00
700	1600698927	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:31:13			00:00:00
700	1600698928	a	Z006		27.03.2026				C			SCLADMIN	31.03.2026	00:31:13			00:00:00
700	1600698929	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	00:31:14			00:00:00
700	1600698930	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:32:58			00:00:00
700	1600698931	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:37:57			00:00:00
700	1600698932	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	00:37:58			00:00:00
700	1600698933	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:38:00			00:00:00
700	1600698934	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:41:17			00:00:00
700	1600698935	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	00:41:19			00:00:00
700	1600698936	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:41:52			00:00:00
700	1600698937	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:43:57			00:00:00
700	1600698938	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:44:42			00:00:00
700	1600698939	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:44:42			00:00:00
700	1600698940	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:44:45			00:00:00
700	1600698941	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:46:37			00:00:00
700	1600698942	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:48:02			00:00:00
700	1600698943	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:48:02			00:00:00
700	1600698945	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:48:37			00:00:00
700	1600698946	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:50:02			00:00:00
