FUNCNAME	R3STATE	PARAMETER	PARAMTYPE	STRUCTURE	DEFAULTVAL	REFERENCE	PPOSITION	OPTIONAL	TYPE	CLASS	REF_CLASS	LINE_OF	TABLE_OF	RESFLAG1	RESFLAG2	RESFLAG3	RESFLAG4	RESFLAG5
AIP2_CHECK_MASTER_DATA	A	I_TASK	I				1											
AIPA_AUTHORITY_CHECK_IP	A	I_OBTYP	I				1											
AIPA_AUTHORITY_CHECK_OR	A	I_ACTVT	I				1											
AIPA_AUTHORITY_CHECK_PR	A	I_ACTVT	I				1											
AIPA_CHECK_MEAS_YRCHG	A	I_OBJNR	I				1											
AIPA_READ_CO_DATA	A	ALL	I				1											
AIPC_POSITION_EDIT	A	INPUT	I				1											
AIPC_POSITION_UNEDIT	A	INPUT	I				1											
AIPL_GET_AFAOBJECT_SINGLE	A	I_INDEX	I				1											
AIPL_GET_AFAOBJECT_SINGLE_IP	A	I_INDEX	I				1											
AIPO_SWITCH_POSNR	A	I_OBJNR_TMP	I				1											
AIST_FIELD_STATUS_DISPLAY	A	I_FEGLG	I				1											
ALE_SER_PROTOCOLL	A	P_PARFL	I				1											
ALINKFILE_CLIENT_TO_TABLE	A	PATH	I				1											
ALM_NOTES_MAINTAIN	A	APPLICATION	I				1											
ALPHA_EXIT_FOR_TYPE_N_CONTROL	A	NO_ALPHA_EXIT_FOR_TYPE_N	I				1											
ALVDG_WORD_WRAP	A	TEXTLINE	I				1											
ALV_DEBIT_POSITION_LIST	A	I_FLG_SHOW_POST	I				1											
AMOUNT_STRING_CONVERT	A	AMOUNT_STRING	I				1											
AM_CONFIRM_LIMIT	A	I_TEST	I				1											
ANKA_CHECK	A	CHECK_VALUE	I				1											
APPL_LOG_PREPARE_HEADER_TEXT	A	FORMAT	I				1											
ARCHIVES_KEY_RETURN	A	I_APPLI	I				1											
