TABLE|T001L
TITLE|Data Browser: Table T001L Select Entries         30
SBAR|Selection restricted to 30 hits
R23|[1]	[3]200	[6]	[9]0130	[13]	[16]0001	[20]	[22]Lager 0001	[39]	[41]	[45]	[46]	[51]	[52]	[57]	[58]	[63]	[64]	[69]	[70]	[75]	[76]	[81]	[85]	[87]	[91]	[94]	[96]	[100]	[104]	[107]	[117]	[120]	[130]	[133]	
R24|[1]	[3]200	[6]	[9]0140	[13]	[16]0001	[20]	[22]Lager 0001	[39]	[41]	[45]	[46]	[51]	[52]	[57]	[58]	[63]	[64]	[69]	[70]	[75]	[76]	[81]	[85]	[87]	[91]	[94]	[96]	[100]	[104]	[107]	[117]	[120]	[130]	[133]	
R25|[1]	[3]200	[6]	[9]0140	[13]	[16]0088	[20]	[22]Lager 0088 (WM)	[39]	[41]	[45]	[46]	[51]	[52]	[57]	[58]	[63]	[64]	[69]	[70]	[75]	[76]	[81]	[85]	[87]	[91]	[94]	[96]	[100]	[104]	[107]	[117]	[120]	[130]	[133]	
R26|[1]	[3]200	[6]	[9]0140	[13]	[16]0100	[20]	[22]Lagerort WM&HU	[39]	[41]	[45]	[46]	[51]	[52]	[57]	[58]	[63]	[64]	[69]	[70]	[75]	[76]	[81]	[85]	[87]	[91]	[94]	[96]	[100]	[104]	[107]	[117]	[120]	[130]	[133]	
R27|[1]	[3]200	[6]	[9]0150	[13]	[16]0001	[20]	[22]Lager 0001	[39]	[41]	[45]	[46]	[51]	[52]	[57]	[58]	[63]	[64]	[69]	[70]	[75]	[76]	[81]	[85]	[87]	[91]	[94]	[96]	[100]	[104]	[107]	[117]	[120]	[130]	[133]	
R28|[1]	[3]200	[6]	[9]AB01	[13]	[16]0011	[20]	[22]storage 0011	[39]	[41]	[45]	[46]	[51]	[52]	[57]	[58]	[63]	[64]	[69]	[70]	[75]	[76]	[81]	[85]	[87]	[91]	[94]	[96]	[100]	[104]	[107]	[117]	[120]	[130]	[133]	
R29|[1]	[3]200	[6]	[9]AB01	[13]	[16]0022	[20]	[22]storage 0022	[39]	[41]	[45]	[46]	[51]	[52]	[57]	[58]	[63]	[64]	[69]	[70]	[75]	[76]	[81]	[85]	[87]	[91]	[94]	[96]	[100]	[104]	[107]	[117]	[120]	[130]	[133]	
R30|[1]	[3]200	[6]	[9]AB01	[13]	[16]0033	[20]	[22]storage 0033	[39]	[41]	[45]	[46]	[51]	[52]	[57]	[58]	[63]	[64]	[69]	[70]	[75]	[76]	[81]	[85]	[87]	[91]	[94]	[96]	[100]	[104]	[107]	[117]	[120]	[130]	[133]	
R31|[1]	[3]200	[6]	[9]AB01	[13]	[16]0044	[20]	[22]storage 0044	[39]	[41]	[45]	[46]	[51]	[52]	[57]	[58]	[63]	[64]	[69]	[70]	[75]	[76]	[81]	[85]	[87]	[91]	[94]	[96]	[100]	[104]	[107]	[117]	[120]	[130]	[133]	
R32|[1]	[3]200	[6]	[9]AB01	[13]	[16]0055	[20]	[22]Storage 0055	[39]	[41]	[45]	[46]	[51]	[52]	[57]	[58]	[63]	[64]	[69]	[70]	[75]	[76]	[81]	[85]	[87]	[91]	[94]	[96]	[100]	[104]	[107]	[117]	[120]	[130]	[133]	
R33|[1]	[3]200	[6]	[9]AB01	[13]	[16]0066	[20]	[22]STORAGE 0066	[39]	[41]	[45]	[46]	[51]	[52]	[57]	[58]	[63]	[64]	[69]	[70]	[75]	[76]	[81]	[85]	[87]	[91]	[94]	[96]	[100]	[104]	[107]	[117]	[120]	[130]	[133]	
R34|[1]	[3]200	[6]	[9]PL20	[13]	[16]0001	[20]	[22]Lager 0001	[39]	[41]	[45]	[46]	[51]	[52]	[57]	[58]	[63]	[64]	[69]	[70]	[75]	[76]	[81]	[85]	[87]	[91]	[94]	[96]	[100]	[104]	[107]	[117]	[120]	[130]	[133]	
