TABLE|T161
TITLE|Data Browser: Table T161 Select Entries         35
SBAR|
CELLS|1445
R0|[0]Table:	[15]	[16]T161	
R1|[0]Displayed Fields:	[18]	[19]33	[21]	[22]of	[25]	[26]74	[29]	[36]Fixed Columns:	[65]	[66] 3	[69]	[74]List Width	[84]	[85]0250	
R3|[1]	[3]MANDT	[9]BSTYP	[15]BSART	[21]BSAKZ	[27]PINCR	[33]NUMKI	[39]NUMKE	[45]BREFN	[50]	[68]REFBA	[73]	[75]ABVOR	[81]STAFO	[86]	[90]UPINC	[96]STAKO	[102]PARGR	[107]	[109]NUMKA	[115]HITYP	[121]LPHIS	[127]GSFRG	[133]VARIANTE	[141]	[144]SHENQ	[150]KZA	
R5|[1]	[3]200	[6]	[9]A	[10]	[15]AB	[19]	[21]	[22]	[27]00010	[33]60	[35]	[39]61	[41]	[45]ANA	[65]	[68]	[72]	[75]	[76]	[81]SAP	[87]	[90]00000	[96]	[97]	[102]	[106]	[109]	[111]	[115]	[116]	[121]	[122]	[127]	[128]	[133]	[144]	[145]	[150]	[151]	
R6|[1]	[3]200	[6]	[9]A	[10]	[15]AN	[19]	[21]	[22]	[27]00010	[33]60	[35]	[39]61	[41]	[45]ANA	[65]	[68]AN	[72]	[75]	[76]	[81]SAP	[87]	[90]00000	[96]X	[97]	[102]	[106]	[109]	[111]	[115]	[116]	[121]	[122]	[127]	[128]	[133]	[144]	[145]	[150]	[151]	
R7|[1]	[3]200	[6]	[9]A	[10]	[15]CPL	[19]	[21]	[22]	[27]00010	[33]60	[35]	[39]61	[41]	[45]ANAR	[65]	[68]	[72]	[75]	[76]	[81]SAP	[87]	[90]00000	[96]X	[97]	[102]	[106]	[109]	[111]	[115]	[116]	[121]	[122]	[127]	[128]	[133]	[144]	[145]	[150]	[151]	
R8|[1]	[3]200	[6]	[9]A	[10]	[15]RAN	[19]	[21]	[22]	[27]00010	[33]60	[35]	[39]61	[41]	[45]ANAR	[65]	[68]	[72]	[75]	[76]	[81]SAP	[87]	[90]00000	[96]X	[97]	[102]	[106]	[109]	[111]	[115]	[116]	[121]	[122]	[127]	[128]	[133]	[144]	[145]	[150]	[151]	
R9|[1]	[3]200	[6]	[9]B	[10]	[15]FO	[19]	[21]	[22]	[27]00010	[33]01	[35]	[39]02	[41]	[45]FOF	[65]	[68]	[72]	[75]	[76]	[81]	[87]	[90]00000	[96]	[97]	[102]	[106]	[109]	[111]	[115]	[116]	[121]	[122]	[127]	[128]	[133]SRV	[144]	[145]	[150]	[151]	
R10|[1]	[3]200	[6]	[9]B	[10]	[15]NB	[19]	[21]	[22]	[27]00010	[33]01	[35]	[39]02	[41]	[45]NBB	[65]	[68]NB	[72]	[75]	[76]	[81]	[87]	[90]00000	[96]	[97]	[102]	[106]	[109]	[111]	[115]	[116]	[121]	[122]	[127]	[128]	[133]	[144]	[145]	[150]	[151]	
R11|[1]	[3]200	[6]	[9]B	[10]	[15]RV	[19]	[21]R	[22]	[27]00010	[33]01	[35]	[39]02	[41]	[45]RVB	[65]	[68]RV	[72]	[75]	[76]	[81]	[87]	[90]00000	[96]	[97]	[102]	[106]	[109]	[111]	[115]	[116]	[121]	[122]	[127]	[128]	[133]	[144]	[145]	[150]	[151]	
R12|[1]	[3]200	[6]	[9]C	[10]	[15]MK	[19]	[21]	[22]	[27]00010	[33]47	[35]	[39]	[41]	[45]MKC	[65]	[68]	[72]	[75]	[76]	[81]	[87]	[90]00000	[96]	[97]	[102]	[106]	[109]	[111]	[115]	[116]	[121]	[122]	[127]	[128]	[133]	[144]	[145]	[150]	[151]	
R13|[1]	[3]200	[6]	[9]C	[10]	[15]WK	[19]	[21]	[22]	[27]00010	[33]47	[35]	[39]	[41]	[45]WKC	[65]	[68]	[72]	[75]	[76]	[81]	[87]	[90]00000	[96]	[97]	[102]	[106]	[109]	[111]	[115]	[116]	[121]	[122]	[127]	[128]	[133]	[144]	[145]	[150]	[151]	
R14|[1]	[3]200	[6]	[9]F	[10]	[15]DB	[19]	[21]	[22]	[27]00010	[33]45	[35]	[39]41	[41]	[45]NBF	[65]	[68]NB	[72]	[75]	[76]	[81]SAP	[87]	[90]00001	[96]	[97]	[102]	[106]	[109]	[111]	[115]A	[116]	[121]	[122]	[127]	[128]	[133]	[144]	[145]	[150]	[151]	
R15|[1]	[3]200	[6]	[9]F	[10]	[15]ENB	[19]	[21]	[22]	[27]00010	[33]45	[35]	[39]41	[41]	[45]NBF	[65]	[68]	[72]	[75]	[76]	[81]SAP	[87]	[90]00000	[96]	[97]	[102]	[106]	[109]	[111]	[115]	[116]	[121]	[122]	[127]	[128]	[133]	[144]	[145]	[150]	[151]	
R16|[1]	[3]200	[6]	[9]F	[10]	[15]EUB	[19]	[21]T	[22]	[27]00010	[33]45	[35]	[39]41	[41]	[45]UBF	[65]	[68]	[72]	[75]	[76]	[81]SAP	[87]	[90]00000	[96]	[97]	[102]	[106]	[109]	[111]	[115]	[116]	[121]	[122]	[127]	[128]	[133]	[144]	[145]	[150]	[151]	
R17|[1]	[3]200	[6]	[9]F	[10]	[15]FO	[19]	[21]	[22]	[27]00010	[33]45	[35]	[39]41	[41]	[45]FOF	[65]	[68]	[72]	[75]	[76]	[81]SAP	[87]	[90]00000	[96]	[97]	[102]	[106]	[109]	[111]	[115]	[116]	[121]	[122]	[127]	[128]	[133]SRV	[144]	[145]	[150]	[151]	
R18|[1]	[3]200	[6]	[9]F	[10]	[15]NB	[19]	[21]	[22]	[27]00010	[33]45	[35]	[39]41	[41]	[45]NBF	[65]	[68]NB	[72]	[75]	[76]	[81]SAP	[87]	[90]00000	[96]	[97]	[102]	[106]	[109]	[111]	[115]A	[116]	[121]	[122]	[127]	[128]	[133]	[144]	[145]	[150]	[151]	
R19|[1]	[3]200	[6]	[9]F	[10]	[15]NB2	[19]	[21]	[22]	[27]00010	[33]45	[35]	[39]41	[41]	[45]NBF	[65]	[68]	[72]	[75]	[76]	[81]SAP	[87]	[90]00000	[96]	[97]	[102]	[106]	[109]	[111]	[115]	[116]	[121]	[122]	[127]	[128]	[133]	[144]	[145]	[150]	[151]	
R20|[1]	[3]200	[6]	[9]F	[10]	[15]NB2C	[19]	[21]	[22]	[27]00010	[33]45	[35]	[39]41	[41]	[45]NBF2	[65]	[68]	[72]	[75]	[76]	[81]SAP	[87]	[90]00000	[96]	[97]	[102]	[106]	[109]	[111]	[115]	[116]	[121]	[122]	[127]	[128]	[133]	[144]	[145]	[150]	[151]	
R21|[1]	[3]200	[6]	[9]F	[10]	[15]NBAI	[19]	[21]	[22]	[27]00010	[33]45	[35]	[39]41	[41]	[45]NBAI	[65]	[68]	[72]	[75]	[76]	[81]SAP	[87]	[90]00000	[96]	[97]	[102]0002	[106]	[109]	[111]	[115]	[116]	[121]	[122]	[127]	[128]	[133]	[144]	[145]	[150]	[151]	
R22|[1]	[3]200	[6]	[9]F	[10]	[15]NBC7	[19]	[21]	[22]	[27]00010	[33]45	[35]	[39]41	[41]	[45]NBF2	[65]	[68]	[72]	[75]	[76]	[81]SAP	[87]	[90]00000	[96]	[97]	[102]	[106]	[109]	[111]	[115]	[116]	[121]	[122]	[127]	[128]	[133]	[144]	[145]	[150]	[151]	
R23|[1]	[3]200	[6]	[9]F	[10]	[15]NBIC	[19]	[21]	[22]	[27]00010	[33]45	[35]	[39]41	[41]	[45]NBF	[65]	[68]	[72]	[75]	[76]	[81]SAP	[87]	[90]00000	[96]	[97]	[102]0002	[106]	[109]	[111]	[115]	[116]	[121]	[122]	[127]	[128]	[133]	[144]	[145]	[150]	[151]	
R24|[1]	[3]200	[6]	[9]F	[10]	[15]NBR8	[19]	[21]	[22]	[27]00010	[33]45	[35]	[39]41	[41]	[45]NBF2	[65]	[68]	[72]	[75]	[76]	[81]SAP	[87]	[90]00000	[96]	[97]	[102]	[106]	[109]	[111]	[115]	[116]	[121]	[122]	[127]	[128]	[133]	[144]	[145]	[150]	[151]	
R25|[1]	[3]200	[6]	[9]F	[10]	[15]NBXE	[19]	[21]	[22]	[27]00010	[33]45	[35]	[39]41	[41]	[45]NBF	[65]	[68]	[72]	[75]	[76]	[81]SAP	[87]	[90]00000	[96]	[97]	[102]	[106]	[109]	[111]	[115]	[116]	[121]	[122]	[127]	[128]	[133]	[144]	[145]	[150]	[151]	
R26|[1]	[3]200	[6]	[9]F	[10]	[15]NBXI	[19]	[21]	[22]	[27]00010	[33]45	[35]	[39]41	[41]	[45]NBF	[65]	[68]	[72]	[75]	[76]	[81]SAP	[87]	[90]00000	[96]	[97]	[102]	[106]	[109]	[111]	[115]	[116]	[121]	[122]	[127]	[128]	[133]	[144]	[145]	[150]	[151]	
R27|[1]	[3]200	[6]	[9]F	[10]	[15]UB	[19]	[21]T	[22]	[27]00010	[33]45	[35]	[39]41	[41]	[45]UBF	[65]	[68]UB	[72]	[75]	[76]	[81]SAP	[87]	[90]00000	[96]	[97]	[102]	[106]	[109]	[111]	[115]	[116]	[121]	[122]	[127]	[128]	[133]	[144]	[145]	[150]	[151]	
R28|[1]	[3]200	[6]	[9]F	[10]	[15]UB2	[19]	[21]T	[22]	[27]00010	[33]45	[35]	[39]41	[41]	[45]UBF2	[65]	[68]	[72]	[75]	[76]	[81]SAP	[87]	[90]00000	[96]	[97]	[102]	[106]	[109]	[111]	[115]	[116]	[121]	[122]	[127]	[128]	[133]	[144]	[145]	[150]	[151]	
R29|[1]	[3]200	[6]	[9]K	[10]	[15]MK	[19]	[21]	[22]	[27]00010	[33]46	[35]	[39]44	[41]	[45]MKK	[65]	[68]MK	[72]	[75]A	[76]	[81]SAP	[87]	[90]00000	[96]	[97]	[102]	[106]	[109]	[111]	[115]	[116]	[121]	[122]	[127]	[128]	[133]	[144]	[145]	[150]	[151]	
R30|[1]	[3]200	[6]	[9]K	[10]	[15]WK	[19]	[21]	[22]	[27]00010	[33]46	[35]	[39]44	[41]	[45]WKK	[65]	[68]WK	[72]	[75]A	[76]	[81]SAP	[87]	[90]00000	[96]	[97]	[102]	[106]	[109]	[111]	[115]	[116]	[121]	[122]	[127]	[128]	[133]	[144]	[145]	[150]	[151]	
R31|[1]	[3]200	[6]	[9]L	[10]	[15]LP	[19]	[21]	[22]	[27]00010	[33]55	[35]	[39]56	[41]	[45]LPL	[65]	[68]LP	[72]	[75]	[76]	[81]SAP	[87]	[90]00000	[96]X	[97]	[102]	[106]	[109]	[111]	[115]	[116]	[121]	[122]	[127]	[128]	[133]	[144]	[145]	[150]	[151]	
R32|[1]	[3]200	[6]	[9]L	[10]	[15]LPA	[19]	[21]	[22]	[27]00010	[33]55	[35]	[39]56	[41]	[45]LPL	[65]	[68]	[72]	[75]	[76]	[81]SAP	[87]	[90]00000	[96]X	[97]	[102]	[106]	[109]	[111]	[115]	[116]	[121]X	[122]	[127]	[128]	[133]	[144]	[145]	[150]	[151]	
