Sales Organization | Ref.dist.channel-Cust/Material | Plant | Name | Name | Name 1
1000 | 10 | 1418 | Shree Cement​ Ltd | Trade | SFT-NOIDA
1000 | 10 | 1419 | Shree Cement​ Ltd | Trade | SFT-CUTTACK
1000 | 10 | 1420 | Shree Cement​ Ltd | Trade | SFT-AGRA
1000 | 10 | 1421 | Shree Cement​ Ltd | Trade | SFT-BHUJ
1000 | 10 | 1422 | Shree Cement​ Ltd | Trade | SFT-FARTHABAD
1000 | 10 | 1423 | Shree Cement​ Ltd | Trade | SFT-SANGRUR
1000 | 10 | 1424 | Shree Cement​ Ltd | Trade | SFT-BANGLORE
1000 | 10 | 1425 | Shree Cement​ Ltd | Trade | SFT-ULUBERIA
1000 | 10 | 1426 | Shree Cement​ Ltd | Trade | SFT-CHENNAI
1000 | 10 | 1427 | Shree Cement​ Ltd | Trade | SFT-GUNTUR
1000 | 10 | 1428 | Shree Cement​ Ltd | Trade | SFT-CHITRAKOOT
1000 | 10 | 1429 | Shree Cement​ Ltd | Trade | SFT-DHAR (MP)
1000 | 10 | 1430 | Shree Cement​ Ltd | Trade | SFT-KONDALA
1000 | 10 | 1431 | Shree Cement​ Ltd | Trade | SFT-MEGHALAYA
1000 | 10 | 1451 | Shree Cement​ Ltd | Trade | SFT-BPS RAS
1000 | 10 | 1452 | Shree Cement​ Ltd | Trade | SFT-BPS RAIPUR
1000 | 10 | 2101 | Shree Cement​ Ltd | Trade | SCL RMC MANKHAL HYDERABAD
1000 | 10 | 2102 | Shree Cement​ Ltd | Trade | SCL RMC BOLLARAM HYDERABAD
1000 | 10 | 2103 | Shree Cement​ Ltd | Trade | SCL RMC YELUMALA HYDERABAD
1000 | 10 | 2104 | Shree Cement​ Ltd | Trade | SCL RMC MAHAPURA JAIPUR
1000 | 10 | 2105 | Shree Cement​ Ltd | Trade | SCL RMC SURAJPUR GREATER NOIDA
1000 | 10 | 2106 | Shree Cement​ Ltd | Trade | SCL RMC SAKATPUR GURGAON
1000 | 10 | 2107 | Shree Cement​ Ltd | Trade | SCL RMC DEONAR MUMBAI
1000 | 10 | 2108 | Shree Cement​ Ltd | Trade | SCL RMC PADEGHAR
1000 | 10 | 2109 | Shree Cement​ Ltd | Trade | SCL RMC JNPT NAVI MUMBAI
1000 | 10 | 2110 | Shree Cement​ Ltd | Trade | SCL RMC DOMBIVALI
1000 | 10 | 2111 | Shree Cement​ Ltd | Trade | SCL RMC MANKOLI BHIWANDI
1000 | 10 | 2112 | Shree Cement​ Ltd | Trade | SCL RMC NACHARAM HYDERABAD
1000 | 10 | 2113 | Shree Cement​ Ltd | Trade | SCL RMC MANGALAGIRI GUNTUR
1000 | 10 | 2114 | Shree Cement​ Ltd | Trade | SCL RMC SANAWADIA INDORE
1000 | 10 | 2115 | Shree Cement​ Ltd | Trade | SCL RMC BHOJPUR ROAD BHOPAL
1000 | 10 | 2116 | Shree Cement​ Ltd | Trade | SCL RMC MOHANLALGUNJ LUCKNOW
1000 | 10 | 2117 | Shree Cement​ Ltd | Trade | SCL RMC ICHCHAPORE SURAT
1000 | 10 | 2118 | Shree Cement​ Ltd | Trade | SCL RMC BAIDYABATI KOLKATA
1000 | 10 | 2119 | Shree Cement​ Ltd | Trade | SCL RMC DEVANAHALLI BANGALORE
1000 | 10 | 2120 | Shree Cement​ Ltd | Trade | SCL RMC YELAHANKA BANGALORE
1000 | 10 | 2121 | Shree Cement​ Ltd | Trade | SCL RMC SERIKHERI RAIPUR
1000 | 10 | 2122 | Shree Cement​ Ltd | Trade | SCL RMC WAGHOLI PUNE
1000 | 10 | 2123 | Shree Cement​ Ltd | Trade | SCL RMC LIMBADIYA AHMEDABAD
1000 | 10 | 2124 | Shree Cement​ Ltd | Trade | SCL RMC CUTTACK ROAD
1000 | 10 | 2125 | Shree Cement​ Ltd | Trade | SCL RMC TELAV AHMEDABAD
1000 | 10 | 2126 | Shree Cement​ Ltd | Trade | SCL RMC MEDCHAL HYDERABAD
1000 | 10 | 2127 | Shree Cement​ Ltd | Trade | SCL RMC MANJARI PUNE
1000 | 10 | 2128 | Shree Cement​ Ltd | Trade | SCL RMC KHORDHA ROAD BHUBNESWR
1000 | 10 | 2129 | Shree Cement​ Ltd | Trade | SCL RMC NELLORE
1000 | 10 | 2130 | Shree Cement​ Ltd | Trade | SCL RMC TIRUPATI
1000 | 10 | 2131 | Shree Cement​ Ltd | Trade | SCL RMC BHIWADI
1000 | 10 | 2132 | Shree Cement​ Ltd | Trade | SCL RMC UDAIPUR
1000 | 10 | 2133 | Shree Cement​ Ltd | Trade | SCL RMC PATNA NAUBATPUR
1000 | 10 | 2134 | Shree Cement​ Ltd | Trade | SCL RMC RAJARHAT KOLKATATA
1000 | 10 | 2135 | Shree Cement​ Ltd | Trade | SCL RMC MALHARGANJ INDORE
1000 | 10 | 2136 | Shree Cement​ Ltd | Trade | SCL RMC MARUNJI PUNE
1000 | 10 | 2137 | Shree Cement​ Ltd | Trade | SCL RMC KALYANI NADIA
1000 | 10 | 2500 | Shree Cement​ Ltd | Trade | SCL RMC Head Office
1000 | 10 | 2501 | Shree Cement​ Ltd | Trade | SCL RMC NORTH ZONE
1000 | 10 | 2502 | Shree Cement​ Ltd | Trade | SCL RMC EAST ZONE
1000 | 10 | 2503 | Shree Cement​ Ltd | Trade | SCL RMC WEST ZONE
1000 | 10 | 2504 | Shree Cement​ Ltd | Trade | SCL RMC SOUTH ZONE
1000 | 10 | 3700 | Shree Cement​ Ltd | Trade | UP BIJNOR (T) SC TR
1000 | 10 | 3701 | Shree Cement​ Ltd | Trade | UP BIJNOR (T) BG TR
1000 | 10 | 3702 | Shree Cement​ Ltd | Trade | UP BIJNOR (T) RS TR
1000 | 10 | 3703 | Shree Cement​ Ltd | Trade | UK DOIWALA (T) SC TR- CLOSED
1000 | 10 | 3735 | Shree Cement​ Ltd | Trade | OD MANGULI CHOWK TR RD
1000 | 10 | 3736 | Shree Cement​ Ltd | Trade | OD SAMBALPUR TR RD
1000 | 10 | 3737 | Shree Cement​ Ltd | Trade | OD BARGARH TR RD
1000 | 10 | 3738 | Shree Cement​ Ltd | Trade | OD JHARSUGUDA TR RD
1000 | 10 | 3739 | Shree Cement​ Ltd | Trade | OD SUNDARGARH TR RD
1000 | 10 | 3740 | Shree Cement​ Ltd | Trade | RJ BARAN TR
1000 | 10 | 3741 | Shree Cement​ Ltd | Trade | UP CHANDAULI RD TR
1000 | 10 | 3742 | Shree Cement​ Ltd | Trade | OD ROURKELA TR RD
1000 | 10 | 3745 | Shree Cement​ Ltd | Trade | OD JARAKA TR VD
1000 | 10 | 3746 | Shree Cement​ Ltd | Trade | BR SAMASTIPUR TR
1000 | 10 | 3747 | Shree Cement​ Ltd | Trade | BR SAMASTIPUR TR RSD
1000 | 10 | 3748 | Shree Cement​ Ltd | Trade | BR TAJPUR TR [VD]
1000 | 10 | 3749 | Shree Cement​ Ltd | Trade | RJ VATIKA TR
1000 | 10 | 3750 | Shree Cement​ Ltd | Trade | GJ LIMBADIYA NT (TP)
1000 | 10 | 3751 | Shree Cement​ Ltd | Trade | PB SANGRUR TR
1000 | 10 | 3752 | Shree Cement​ Ltd | Trade | BR PANIGHATTA SALMARI TR
1000 | 10 | 3753 | Shree Cement​ Ltd | Trade | WB TR BOYERMARI VD
1000 | 10 | 3754 | Shree Cement​ Ltd | Trade | CG BHATAPARA HUB
1000 | 10 | 3755 | Shree Cement​ Ltd | Trade | JH HATIA TR RSD
1000 | 10 | 3757 | Shree Cement​ Ltd | Trade | JH DALTONGANJ TR RSD
1000 | 10 | 3758 | Shree Cement​ Ltd | Trade | MH KOLHAPUR RSD TR
1000 | 10 | 3759 | Shree Cement​ Ltd | Trade | GJ MODASA TR
1000 | 10 | 3760 | Shree Cement​ Ltd | Trade | RJ JHALRAPATAN TR
1000 | 10 | 3761 | Shree Cement​ Ltd | Trade | GJ LIMBADIYA BULK
1000 | 10 | 3762 | Shree Cement​ Ltd | Trade | MH VAIBHAVWADI TR
1000 | 10 | 3764 | Shree Cement​ Ltd | Trade | BR BUXAR TR
1000 | 10 | 3765 | Shree Cement​ Ltd | Trade | BR BUXAR TR RSD
1000 | 10 | 3766 | Shree Cement​ Ltd | Trade | BR ARA TR RSD
1000 | 10 | 3769 | Shree Cement​ Ltd | Trade | WB TR RD KRISHNANAGAR
1000 | 10 | 3770 | Shree Cement​ Ltd | Trade | WB TR KRISHNANAGAR RSD
1000 | 10 | 3771 | Shree Cement​ Ltd | Trade | WB TR NANDAKUMAR VD
1000 | 10 | 3772 | Shree Cement​ Ltd | Trade | PB PATIALA TR
1000 | 10 | 3773 | Shree Cement​ Ltd | Trade | OR -CUTTACK-RLY SIDING
1000 | 10 | 3774 | Shree Cement​ Ltd | Trade | OR -RJGR-RLY SIDING
1000 | 10 | 3775 | Shree Cement​ Ltd | Trade | CG DHAMTARI SOW
1000 | 10 | 3776 | Shree Cement​ Ltd | Trade | UP SC NAKAHA JUNGLE TR RSD
1000 | 10 | 3777 | Shree Cement​ Ltd | Trade | UP BC NAKAHA JUNGLE TR RSD
1000 | 10 | 3778 | Shree Cement​ Ltd | Trade | UP BC DEORIA TR RSD
1000 | 10 | 3779 | Shree Cement​ Ltd | Trade | UP SC DEORIA TR RSD
1000 | 10 | 3780 | Shree Cement​ Ltd | Trade | UP BC PHARIHA TR RSD
1000 | 10 | 3781 | Shree Cement​ Ltd | Trade | UP SC PHARIHA TR RSD
1000 | 10 | 3782 | Shree Cement​ Ltd | Trade | RJ BUNDI TR
1000 | 10 | 3783 | Shree Cement​ Ltd | Trade | UP BC DEORIA TR RSD
1000 | 10 | 3785 | Shree Cement​ Ltd | Trade | MH BARAMATI TR
1000 | 10 | 3786 | Shree Cement​ Ltd | Trade | MH PANDHARPUR TR
1000 | 10 | 3788 | Shree Cement​ Ltd | Trade | MH MHASANE PHATA TR
1000 | 10 | 3789 | Shree Cement​ Ltd | Trade | RJ NAGAUR TR
1000 | 10 | 3790 | Shree Cement​ Ltd | Trade | RJ SRI DUNGARGARH TR
1000 | 10 | 3791 | Shree Cement​ Ltd | Trade | NEEMUCH MP
1000 | 10 | 3792 | Shree Cement​ Ltd | Trade | JH RANCHI POLE FACTORY TR
1000 | 10 | 3793 | Shree Cement​ Ltd | Trade | UP BASTI BG TR [VD]
1000 | 10 | 3794 | Shree Cement​ Ltd | Trade | UP KHALILABAD BG TR [VD]
1000 | 10 | 3795 | Shree Cement​ Ltd | Trade | UP PADRAUNA BG [VD]
1000 | 10 | 3796 | Shree Cement​ Ltd | Trade | UP PADRAUNA SC TR [VD]
1000 | 10 | 3797 | Shree Cement​ Ltd | Trade | KA GNGAVATHI TR
1000 | 10 | 3799 | Shree Cement​ Ltd | Trade | RJ BARMER TR
1000 | 10 | 3800 | Shree Cement​ Ltd | Trade | KA YELHANKA TR
1000 | 10 | 3801 | Shree Cement​ Ltd | Trade | KA PEENYA TR
1000 | 10 | 3802 | Shree Cement​ Ltd | Trade | MH BALINGE TR
1000 | 10 | 3803 | Shree Cement​ Ltd | Trade | MH GADHINGLAJ TR
1000 | 10 | 3804 | Shree Cement​ Ltd | Trade | MH CHIPRI TR
1000 | 10 | 3805 | Shree Cement​ Ltd | Trade | MH LONI TR
1000 | 10 | 3806 | Shree Cement​ Ltd | Trade | MH NAVARASTA TR
